,Item,venfis,venfin,itens,itens_dist,datas,estoque,recencia,revendeu_prox_mes,ref_prev
152,40ER160M ER D=16,2,57.07,1,1,28.0,2.0,9,0,2021-09-01
153,40ER160M ER D=16,1,49.77,1,1,28.0,2.0,240,0,2021-09-01
154,40ER160M ER D=16,3,57120.0,2,1,56.0,0.0,42,0,2021-09-01
155,40ER160M ER D=16,2,44.66,1,1,28.0,0.0,184,0,2021-09-01
156,40ER170M ER D=17,1,57.07,1,1,28.0,0.0,9,0,2021-09-01
157,40ER200M ER D=20,5,99.88,2,1,95.0,0.0,128,0,2021-09-01
158,40ER250M ER D=25,9,158.83,3,1,123.0,0.0,128,0,2021-09-01
159,40ER250M ER D=25,3,100.71,2,1,56.0,0.0,156,0,2021-09-01
160,4NKT060308R-M AX325U,40,92.4,2,1,56.0,40.0,1,0,2021-09-01
161,4NKT060308R-M AX325U,20,46.2,1,1,28.0,0.0,56,0,2021-09-01
162,4NKT060308R-M AX325U,30,92.4,2,1,56.0,0.0,65,0,2021-09-01
163,4NKT060308R-M AX325U,30,92.4,2,1,56.0,0.0,112,0,2021-09-01
164,4NKT060308R-M AX325U,10,46.2,1,1,28.0,0.0,154,0,2021-09-01
165,5513.020.25.1 PARAFUSO (M4X12),1,4.43,1,1,28.0,0.0,198,0,2021-09-01
166,715110004RT ESF 2C 15° D=10X10X76X10,1,295.0,1,1,28.0,0.0,153,0,2021-09-01
167,"ADAPTADOR PARA MANDRIL TAM. 1 -  4,50 X 3,40 - (M4 - M6 - 5/32 - 1/4)",1,268.44,1,1,28.0,0.0,219,0,2021-09-01
168,"ADAPTADOR PARA MANDRIL TAM. 1 -  6,00 X  4,90 - (M6) -  6,00 X  4,90 - (M6)",1,269.0,1,1,32.0,0.0,142,1,2021-09-01
169,"ADAPTADOR PARA MANDRIL TAM. 1 -  6,00 X  4,90 - (M6) -  6,00 X  4,90 - (M6)",1,268.45,1,1,32.0,0.0,198,1,2021-09-01
170,"ADAPTADOR PARA MANDRIL TAM. 1 -  6,00 X  4,90 - (M6) -  6,00 X  4,90 - (M6)",1,2952785.0,1,1,28.0,0.0,219,1,2021-09-01
171,"ADAPTADOR PARA MANDRIL TAM. 1 -  6,00 X  4,90 - (M6) -  6,00 X  4,90 - (M6)",2,275.0,1,1,32.0,0.0,79,1,2021-09-01
172,"ADAPTADOR PARA MANDRIL TAM. 1 -  6,00 X  4,90 - (M6) -  6,00 X  4,90 - (M6)",1,269.0,1,1,32.0,0.0,156,1,2021-09-01
173,"ADAPTADOR PARA MANDRIL TAM. 1 -  6,00 X  4,90 - (M8)  -  6,00 X  4,90 - (M8)",1,2952785.0,1,1,28.0,1.0,219,0,2021-09-01
174,"ADAPTADOR PARA MANDRIL TAM. 1 -  7,00 X  5,50 - (M10 - G1/8 - 1/4 - 3/8)",1,336.87,1,1,28.0,0.0,51,1,2021-09-01
175,"ADAPTADOR PARA MANDRIL TAM. 1 -  7,00 X  5,50 - (M10 - G1/8 - 1/4 - 3/8)",1,320.0,1,1,28.0,0.0,93,1,2021-09-01
176,"ADAPTADOR PARA MANDRIL TAM. 1 -  8,00 X  6,20 - (M8 - 5/16 - 7/16)",1,269.0,1,1,32.0,0.0,142,1,2021-09-01
177,"ADAPTADOR PARA MANDRIL TAM. 1 -  8,00 X  6,20 - (M8 - 5/16 - 7/16)",1,268.44,1,1,32.0,0.0,198,1,2021-09-01
178,"ADAPTADOR PARA MANDRIL TAM. 1 -  8,00 X  6,20 - (M8 - 5/16 - 7/16)",2,275.0,1,1,32.0,0.0,79,1,2021-09-01
179,"ADAPTADOR PARA MANDRIL TAM. 1 -  8,00 X  6,20 - (M8 - 5/16 - 7/16)",1,269.0,1,1,32.0,0.0,156,1,2021-09-01
180,"ADAPTADOR PARA MANDRIL TAM. 1 - 10,00 X  8,00 - (M10)",17,273.0,1,1,32.0,0.0,215,0,2021-09-01
181,"ADAPTADOR PARA MANDRIL TAM. 1 - 10,00 X  8,00 - (M10)",2,275.0,1,1,32.0,0.0,79,0,2021-09-01
182,"ADAPTADOR PARA MANDRIL TAM. 1 - 11,00 X  9,00 - (M14 - G1/4 - 9/16)",1,269.0,1,1,32.0,0.0,142,0,2021-09-01
183,"ADAPTADOR PARA MANDRIL TAM. 1 - 11,00 X  9,00 - (M14 - G1/4 - 9/16)",1,275.0,1,1,32.0,0.0,23,0,2021-09-01
184,"ADAPTADOR PARA MANDRIL TAM. 1 - 11,00 X  9,00 - (M14 - G1/4 - 9/16)",1,268.44,1,1,32.0,0.0,198,0,2021-09-01
185,"ADAPTADOR PARA MANDRIL TAM. 1 - 11,00 X  9,00 - (M14 - G1/4 - 9/16)",3,550.0,2,1,64.0,0.0,65,0,2021-09-01
186,"ADAPTADOR PARA MANDRIL TAM. 1 - 11,00 X  9,00 - (M14 - G1/4 - 9/16)",1,269.0,1,1,32.0,0.0,156,0,2021-09-01
187,"ADAPTADOR PARA MANDRIL TAM. 1 - 6,00 X 4,90 - (M5 )  - 6,00 X 4,90 - (M5 )",1,2952785.0,1,1,28.0,0.0,219,0,2021-09-01
188,"ADAPTADOR PARA MANDRIL TAM. 1 - 9,00 X 7,00 - (M12 - 3/8 - 1/2)",1,269.0,1,1,32.0,0.0,142,0,2021-09-01
189,"ADAPTADOR PARA MANDRIL TAM. 1 - 9,00 X 7,00 - (M12 - 3/8 - 1/2)",1,275.0,1,1,32.0,0.0,23,0,2021-09-01
190,"ADAPTADOR PARA MANDRIL TAM. 1 - 9,00 X 7,00 - (M12 - 3/8 - 1/2)",1,268.45,1,1,32.0,0.0,198,0,2021-09-01
191,"ADAPTADOR PARA MANDRIL TAM. 1 - 9,00 X 7,00 - (M12 - 3/8 - 1/2)",3,550.0,2,1,64.0,0.0,65,0,2021-09-01
192,"ADAPTADOR PARA MANDRIL TAM. 1 - 9,00 X 7,00 - (M12 - 3/8 - 1/2)",1,269.0,1,1,32.0,0.0,156,0,2021-09-01
193,"ADAPTADOR PARA MANDRIL TAM. 2 -  9,00 X  7,00 - (M12 - 3/8 - 1/2)",1,464.49,1,1,28.0,0.0,156,0,2021-09-01
194,"ADAPTADOR PARA MANDRIL TAM. 2 - 14,00 X 11,00 - (M18 - 11/16 - 3/4)",1,452.43,1,1,28.0,0.0,51,0,2021-09-01
195,"ADAPTADOR PARA MANDRIL TAM. 2 - 8,00 X 6,20 - (M8 - 5/16 - 7/16)",1,464.49,1,1,28.0,0.0,156,0,2021-09-01
196,"ADAPTADOR PARA MANDRIL TAM.1- 3,50 X 2,70 - (M3 - M5 - 1/8)",1,3087975.0,1,1,28.0,0.0,71,0,2021-09-01
197,ALARGADOR 10MM MAQUINA DIN 212D H7,1,121.97,1,1,28.0,0.0,1,0,2021-09-01
198,ALARGADOR 12MM MAQUINA DIN 212D H7,1,150.2,1,1,28.0,0.0,9,0,2021-09-01
199,ALARGADOR 12MM MAQUINA DIN 212D H7,1,204.97,1,1,28.0,0.0,219,0,2021-09-01
200,ALARGADOR 15MM MAQUINA DIN 212D H7,1,235.43,1,1,28.0,0.0,9,0,2021-09-01
201,ALARGADOR 16MM MANUAL 206 B H7,1,232362.0,1,1,28.0,0.0,93,0,2021-09-01
202,ALARGADOR 16MM MAQUINA DIN 212D H7,1,242.6,1,1,28.0,0.0,9,0,2021-09-01
203,ALARGADOR 16MM MAQUINA DIN 212D H7,1,227172.0,1,1,28.0,0.0,93,0,2021-09-01
204,"ALARGADOR 18,00MM MAQUINA DIN 212D H7",1,303.53,1,1,28.0,0.0,9,0,2021-09-01
205,"ALARGADOR 20,00MM MAQUINA DIN 212D H7",1,347.79,1,1,28.0,0.0,9,0,2021-09-01
206,"ALARGADOR 5,00MM MANUAL DIN 206B H7",1,51.49,1,1,28.0,0.0,15,1,2021-09-01
207,"ALARGADOR 8,00MM MANUAL DIN 206B H7",1,67.73,1,1,28.0,0.0,15,1,2021-09-01
208,"ALARGADOR 8,00MM MAQUINA DIN 212D H7",1,97.18,1,1,28.0,0.0,9,0,2021-09-01
209,"ALARGADOR 8,00MM MAQUINA DIN 212D H7",1,139.37,1,1,28.0,1.0,219,0,2021-09-01
210,ALARGADOR MD D=10X100,1,378.54,1,1,28.0,0.0,223,0,2021-09-01
211,ALARGADOR MD D=12X100,1,420.61,1,1,28.0,0.0,188,0,2021-09-01
212,ALARGADOR MD D=12X100,1,479.49,1,1,28.0,0.0,223,0,2021-09-01
213,ALARGADOR MD D=3X75,3,138.82,1,1,28.0,0.0,223,0,2021-09-01
214,ALARGADOR MD D=4X75,3,189.29,1,1,28.0,0.0,223,0,2021-09-01
215,ALARGADOR MD D=5X75,3,189.29,1,1,28.0,0.0,223,0,2021-09-01
216,"ALARGADOR MD D=7 X 28 X 82MM H6,8 CANAL RETO- (S/R)
 
DIN1420
",2,260.26,1,1,28.0,0.0,96,0,2021-09-01
217,ALARGADOR MD D=8X100,2,277.6,1,1,28.0,0.0,223,0,2021-09-01
218,ANKX120708R-GM-GA4225,10,52.25,1,1,0.0,20.0,57,0,2021-09-01
219,ANKX120708R-GM-GH4125,10,52254.0,1,1,28.0,0.0,62,0,2021-09-01
220,ANKX160708R-GM-GA4225,40,118.28,2,1,56.0,10.0,13,0,2021-09-01
221,ANKX160708R-GM-GA4225,20,59.14,1,1,28.0,20.0,58,0,2021-09-01
222,ANKX160708R-GM-GP4225,20,59.14,1,1,28.0,11.0,98,0,2021-09-01
223,ANKX160716R-GM-GA4225,30,59.9,1,1,30.0,0.0,153,0,2021-09-01
224,ANKX160716R-GM-GA4225,30,59.9,1,1,30.0,30.0,212,0,2021-09-01
225,ANKX160716R-GM-GA4225,20,59.9,1,1,30.0,0.0,184,0,2021-09-01
226,APGT1135PDER-G2-JT1001,70,93.78,3,1,98.0,10.0,6,0,2021-09-01
227,APGT1135PDFR-AL-GN9125,60,35.94,1,1,35.0,80.0,140,0,2021-09-01
228,APGT1135PDFR-AL-GN9125,60,71.88,2,1,70.0,0.0,212,0,2021-09-01
229,APGT1135PDFR-AL-GN9125,60,71.88,2,1,70.0,0.0,77,0,2021-09-01
230,APGT1135PDFR-AL-GN9125,30,35.94,1,1,35.0,10.0,93,0,2021-09-01
231,APGT1135PDFR-AL-GN9125,30,71.88,2,1,70.0,90.0,168,0,2021-09-01
232,APGT1135PDFR-G2 WSK10,10,35.94,1,1,35.0,0.0,226,0,2021-09-01
233,APKT060204R-GM-GA4230,19,15.63,1,1,28.0,0.0,9,0,2021-09-01
234,APKT060204R-GM-GA4230,10,25.22,1,1,28.0,80.0,205,0,2021-09-01
235,APKT100304-PDTR,10,33.76,1,1,28.0,0.0,28,0,2021-09-01
236,APKT100308-APF YB9320,10,28.17,1,1,28.0,0.0,78,0,2021-09-01
237,APKT100308-PDTR LT30,20,22.99,1,1,28.0,0.0,114,0,2021-09-01
238,APKT113508R-GM-GA4225,30,46.56,2,1,56.0,0.0,1,1,2021-09-01
239,APKT113508R-GM-GA4225,10,22.5,1,1,28.0,30.0,194,1,2021-09-01
240,APKT113508R-GM-GA4225,30,48.18,2,1,56.0,70.0,219,1,2021-09-01
241,APKT113508R-GM-GA4225,18,28.05,1,1,0.0,10.0,56,1,2021-09-01
242,APKT113508R-GM-GA4225,10,32.54,1,1,0.0,10.0,99,1,2021-09-01
243,APKT113508R-GM-GA4225,20,46.56,2,1,56.0,10.0,160,1,2021-09-01
244,APKT113508R-GM-GA4230,19,28.05,1,1,0.0,1.0,111,0,2021-09-01
245,APKT113508R-GM-GK4125,10,25.83,1,1,28.0,0.0,184,0,2021-09-01
246,APKT113516R-GH-GA4225,10,25.93,1,1,35.0,0.0,103,0,2021-09-01
247,APMT100308PDER-DM YB9320,10,25.54,1,1,28.0,0.0,79,1,2021-09-01
248,APMT1135PDER-PM-GA4225,40,18730.0,2,1,58.0,10.0,27,1,2021-09-01
249,APMT1135PDER-PM-GA4225,30,71.88,2,1,70.0,10.0,188,1,2021-09-01
250,APMT1135PDER-PM-GA4225,20,18727.0,2,1,58.0,100.0,238,1,2021-09-01
251,APMT1135PDER-PM-GA4225,10,18708.0,1,1,30.0,30.0,121,1,2021-09-01
252,APMT1135PDER-PM-GA4225,10,18708.0,1,1,30.0,50.0,184,1,2021-09-01
253,APMT1135PDER-PM-GM2140,10,20.89,1,1,28.0,0.0,238,0,2021-09-01
254,ARRUELA LISA M 16,20,9.43,1,1,45.0,0.0,104,0,2021-09-01
255,BALANCIM P/PRESILHA DE FIXACAO,6,21.05,1,1,45.0,0.0,104,0,2021-09-01
256,BAP300RD50Z06F22 APMT1135,4,10.0,1,1,35.0,1.0,212,0,2021-09-01
257,BAP300RD50Z06F22 APMT1135,1,10.0,1,1,35.0,0.0,226,0,2021-09-01
258,BARRA DE CHANFRAR 45º - BM01R1522,1,275.0,1,1,28.0,0.0,135,0,2021-09-01
259,BASE MAGNETICA 506.600,1,262.18,1,1,28.0,0.0,219,0,2021-09-01
260,"BDMT070308ER-ML TN6405 R0,8",20,37.76,1,1,28.0,95.0,153,0,2021-09-01
261,"BDMT070308ER-ML TN6405 R0,8",15,37.76,1,1,28.0,0.0,1,0,2021-09-01
262,"BDMT070308ER-ML TN6405 R0,8",10,58.629999999999995,2,1,58.0,165.0,205,0,2021-09-01
263,"BDMT070308ER-ML TN6405 R0,8",50,37.76,1,1,28.0,0.0,236,0,2021-09-01
264,"BDMT070308ER-ML TN6405 R0,8",30,37.76,1,1,28.0,15.0,33,0,2021-09-01
265,"BDMT070308ER-ML TN6405 R0,8",25,37.76,1,1,28.0,45.0,63,0,2021-09-01
266,"BDMT070308ER-ML TN6405 R0,8",45,113.27,3,1,86.0,70.0,93,0,2021-09-01
267,"BDMT070308ER-ML TN6405 R0,8",30,37.76,1,1,28.0,115.0,184,0,2021-09-01
