,cod_original,produto,preco_entrada,disponivel,total,data
37,6092639.0,40020800T028S RETA 2C 30° D=8X8X76X28,53.46,2.0,106.92,2020-04-01
38,5873511.0,40021000T032 RETA 2C 30° D=10X10X89X32,76.2,1.0,76.2,2020-04-01
39,5873515.0,40021200T045 RETA 2C 30° D=12X12X100X45,101.37,4.0,405.48,2020-04-01
40,5873531.0,40021600T056 RETA 2C 30° D=16X16X110X56,242.62,3.0,727.86,2020-04-01
41,5826016.0,40040100T004 RETA 4C 30° D=1X3X38X4,24.35,9.0,219.15,2020-04-01
42,5826085.0,40040100T004.. RETA 4C 30° D=1X3X38X4 S/ COB,26.47,10.0,264.7,2020-04-01
43,5826017.0,40040150T004 RETA 4C 30° D=1.5X3X38X4,31.76,2.0,63.52,2020-04-01
44,5826086.0,40040150T004.. RETA 4C 30° D=1.5X3X38X4 S/ COB,26.47,8.0,211.76,2020-04-01
45,5826087.0,40040200T006.. RETA 4C 30° D=2X3X38X6 S/ COB,26.47,10.0,264.7,2020-04-01
46,6337590.0,40040200T006R050 TORO 4C D=2X3X38X6.3 R0.5,34.93,1.0,34.93,2020-04-01
47,5826088.0,40040250T006.. RETA 4C 30° D=2.5X3X38X6 S/ COB,26.47,10.0,264.7,2020-04-01
48,5826020.0,40040300T009 RETA 4C 30° D=3X3X38X9,31.76,1.0,31.76,2020-04-01
49,5826089.0,40040300T009.. RETA 4C 30° D=3X3X38X9 S/ COB,26.47,8.0,211.76,2020-04-01
50,6337731.0,"40040300T009R050 TIALN TORO 4C D=3X3X9,5X38 R0.5",34.93,6.0,209.58,2020-04-01
51,5826023.0,40040350T012 RETA 4C 30° D=3.5X4X50X12,39.51,1.0,39.51,2020-04-01
52,5826024.0,40040400T011 RETA 4C 30° D=4X4X50X11,39.51,1.0,39.51,2020-04-01
53,5826027.0,40040450T014 RETA 4C 30° D=4.5X5X50X14,40.49,1.0,40.49,2020-04-01
54,6337735.0,40040500T013R050 TIALN TORO 4C D=5X5X13X50 R0.5,44.53,3.0,133.59,2020-04-01
55,5826032.0,40040600T016 RETA 4C 30° D=6X6X50X16,34.97,1.0,34.97,2020-04-01
56,6337736.0,40040600T016R050 TIALN TORO 4 C D=6X6X16X50 R0.5,45.05,8.0,360.4,2020-04-01
57,6337737.0,40040600T016R100 TIALN TORO 4C D=6X6X16X50 R1.0,45.05,1.0,45.05,2020-04-01
58,5826036.0,40040800T020 RETA 4C 30° D=8X8X50X20,45.88,1.0,45.88,2020-04-01
59,5826122.0,40041600T032.. RETA 4C 30° D=16X16X92X32 S/ COB,209.35,7.0,1465.45,2020-04-01
60,1968107.0,401014014RT ESF 4C 30° D=14X14X63X20,9.86,9.0,88.74,2020-04-01
61,5880431.0,40110400T019.. ESF 2C 30° D=4X4X63X19 S/ COB,39.51,5.0,197.55,2020-04-01
62,5880436.0,40110600T028.. ESF 2C 30° D=6X6X76X28 S/ COB,47.25,3.0,141.75,2020-04-01
63,5880439.0,40110800T028.. ESF 2C 30° D=8X8X76X28 S/ COB,53.46,5.0,267.3,2020-04-01
64,5880442.0,40111000T032.. ESF 2C 30° D=10X10X89X32 S/ COB,76.2,3.0,228.6,2020-04-01
65,1602544.0,401112005RT ESF 2C 30° D=12X12X100X45,171.44,6.0,1028.64,2020-04-01
66,5880445.0,40111200T045.. ESF 2C 30° D=12X12X100X45 S/ COB,101.37,5.0,506.85,2020-04-01
67,5873491.0,40120300T025 RETA 2C 30° D=3X3X75X25,36.0,9.0,324.0,2020-04-01
68,5873495.0,40120400T031 RETA 2C 30° D=4X4X75X31,44.78,10.0,447.8,2020-04-01
69,5873504.0,40120600T038  RETA 2C 30° D=6X6X100X38,44.92,6.0,269.52,2020-04-01
70,5873508.0,40120800T041 RETA 2C 30° D=8X8X100X41,59.84,1.0,59.84,2020-04-01
71,5873516.0,40121200T075 RETA 2C 30° D=12X12X150X75,116.97,4.0,467.88,2020-04-01
72,5873532.0,40121600T075 RETA 2C 30° D=16X16X150X75,292.72,5.0,1463.6,2020-04-01
73,5826090.0,40140300T019.. RETA 4C 30° D=3X3X63X19 S/ COB,30.0,3.0,90.0,2020-04-01
74,6337893.0,40140400T019R050 TIALN TORO 4C D=4X4X19X63 R0.5,43.46,2.0,86.92,2020-04-01
75,6337895.0,40140500T030R050 TIALN TORO 4C D=5X5X30X75 R0.5,49.85,6.0,299.1,2020-04-01
76,6337897.0,40140600T028R050 TIALN TORO 4C D=6X6X28X75 R0.5,47.88,5.0,239.4,2020-04-01
77,6337898.0,40140600T028R100 TIALN TORO 4C D=6X6X28X75 R1.0,47.88,8.0,383.04,2020-04-01
78,5826068.0,40142000T056 RETA  4C 20X20X56X125,360.7,2.0,721.4,2020-04-01
79,5880403.0,40210800T040 ESF 2C 30° D=8X8X100X40,71.8,4.0,287.2,2020-04-01
80,5880443.0,40211000T045..  ESF 2C 30° D=10X10X100X45 S/ COB,78.54,3.0,235.62,2020-04-01
81,5880446.0,40211200T075.. ESF 2C 30° D=12X12X150X75 S/ COB,116.97,4.0,467.88,2020-04-01
82,1985548.0,402116006RT ESF 2C 30° D=16X16X150X75,347.24,3.0,1041.72,2020-04-01
83,5826101.0,40240300T025.. RETA 4C 30° D=3X3X75X25 S/ COB,30.0,5.0,150.0,2020-04-01
84,1656296.0,402404001RT RETA 4C 30° D=4,61.38,1.0,61.38,2020-04-01
85,5826031.0,40240500T031 RETA 4C 30° D=5X5X100X31,51.36,8.0,410.88,2020-04-01
86,5826111.0,40240800T041.. RETA 4C 30° D=8X8X100X41 S/ COB,49.87,3.0,149.61,2020-04-01
87,5826118.0,40241200T075.. RETA 4C 30° D=12X12X150X75 S/ COB,97.48,4.0,389.92,2020-04-01
88,5826063.0,40241600T075 RETA 4C 30° D=16X16X150X75,292.72,3.0,878.16,2020-04-01
89,40ER140,40ER140M ER D=14,32.98,1.0,32.98,2020-04-01
90,40ER240,40ER240M ER D=24,32.98,1.0,32.98,2020-04-01
91,2343508.0,423036-000060 K30F-DCF 4C D=6,43.66,2.0,87.32,2020-04-01
92,2558654.0,"44315912 PN120 (ROSCA INTERNA 60º  ATÉ 3,00)",10.84,4.0,43.36,2020-04-01
93,1656900.0,463301200RT RETA 3C 30° D=1.2X3X38X2 MICRO,31.9,1.0,31.9,2020-04-01
94,3462454.0,47N705002LT RETA 4C VARIMILL D=5X6X57X13 R0.5,71.05,3.0,213.15,2020-04-01
95,3462464.0,47N708013LT RETA 4C VARIMILL D=8X8X63X16 R1.0,106.26,1.0,106.26,2020-04-01
96,1858426.0,497910004.. RETA 3C 40° D=10X10X72X22 DESB R0.50 S/ COB,129.66,1.0,129.66,2020-04-01
97,2018290.0,4IRN60 TN6025,39.32,2.0,78.64,2020-04-01
98,19138.0,5322.234.01 P/ CNMG12,6.3,2.0,12.6,2020-04-01
99,913.0,5322.331.06 MW06,3.0,2.0,6.0,2020-04-01
100,19155.0,5322.331.07 MW 08,4.2,1.0,4.2,2020-04-01
101,568497.0,"5513.020.18 (M4X0,5 - T15) P/ SIR 22",11.67,1.0,11.67,2020-04-01
102,5096567.0,571806012MT RETA 5C VARIMILL D=6X6X24X76XR0.5,126.54,2.0,253.08,2020-04-01
103,3669645.0,"606249 SCREW BHCS M5X0,8X12",2.54,18.0,45.72,2020-04-01
104,2545214.0,70N104002RT ESF 2C 30° D=4,153.72,2.0,307.44,2020-04-01
105,2545216.0,70N106002RT ESF 2C 30° D=6X6X76X18,153.72,3.0,461.16,2020-04-01
106,3484756.0,70N706002MT RETA 6C 20° X-FEED D=6X6X18X63,213.51,1.0,213.51,2020-04-01
107,3477329.0,70N716006MT RETA 6C 20° X-FEED D=16X16X48X110,537.34,1.0,537.34,2020-04-01
108,2499570.0,754503002LT RETA 4C 50° D=3X6X50X4.5,91.15,3.0,273.45,2020-04-01
109,2540318.0,759503012LT TOROIDAL 4C D=3X6X50X4.5 R0.5,99.32,2.0,198.64,2020-04-01
110,2540320.0,759504012LT TOROIDAL 4C D=4X6X50X6 R0.5,99.32,3.0,297.96,2020-04-01
111,2540322.0,759505012LT TOROIDAL 4C D=5X6X50X9 R0.5,99.32,4.0,397.28,2020-04-01
112,1862107.0,759508003LT TOROIDAL 4C D=8X8X63X12 R0.5,130.59,2.0,261.18,2020-04-01
113,1862109.0,759510004LT TOROIDAL 4C D=10X10X76X15 R0.5,187.71,1.0,187.71,2020-04-01
114,2544738.0,75N204042RT TOR 2C D=4X6X4X75 R0.5,122.43,2.0,244.86,2020-04-01
115,2256496.0,7N2202021RJ RETA 2C 30° D=2X4X16X50 LONG NECK,95.21,1.0,95.21,2020-04-01
116,1239.0,"ADAPTADOR PARA MANDRIL TAM. 1 - 4,00 X 3,00 - (M3,5 - M4)",178.4,1.0,178.4,2020-04-01
117,5102-502002,"ALARGADOR 3,00MM MANUAL DIN 206B H7",25.08,1.0,25.08,2020-04-01
118,5202 - 504012,"ALARGADOR 5,00MM MAQUINA DIN 212D H7",30.44,2.0,60.88,2020-04-01
119,5202 - 504024,"ALARGADOR 8,00MM MAQUINA DIN 212D H7",39.75,1.0,39.75,2020-04-01
120,2656.0,"ANEL DE VEDAÇÃO PARA PINCA ER-20 - 5,00",31.98,1.0,31.98,2020-04-01
121,APGT1135PDFR-G2,APGT1135PDFR-G2 WSK10,15.0,7.0,105.0,2020-04-01
122,6196890.0,APMT1135PDR PA120,8.3,22.0,182.6,2020-04-01
123,6196991.0,APMT1604PDR PA120,10.74,20.0,214.8,2020-04-01
124,4169133.0,APPT100308SRMM TN6540,24.36,10.0,243.6,2020-04-01
125,BAP300R12,BAP300RD12Z01H11L150 APMT1135,70.0,2.0,140.0,2020-04-01
126,BAP300R16,BAP300RD16Z02H15L150 APMT1135,80.0,1.0,80.0,2020-04-01
127,BAP300R20,BAP300RD20Z03H19L150 APMT1135,90.0,1.0,90.0,2020-04-01
128,BAP300R25,BAP300RD25Z03H24L150 APMT1135,100.0,1.0,100.0,2020-04-01
129,BAP300R32,BAP300RD32Z04H25L150 APMT1135,130.0,1.0,130.0,2020-04-01
130,2754/001,BARRA DE CHANFRAR 45º - BM01R1522,180.0,1.0,180.0,2020-04-01
131,3577973.0,"BDMT070304ER-ML TN6405 R0,4",18.75,45.0,843.75,2020-04-01
132,3859333.0,"BDMT070308ER-ML TN6405 R0,8",18.75,45.0,843.75,2020-04-01
133,3859336.0,"BDMT070308ER-ML TN6430 R0,8",18.75,25.0,468.75,2020-04-01
134,3577930.0,"BDMT11T304ER-MS TN6425 R0,4",20.83,5.0,104.15,2020-04-01
135,3577936.0,"BDMT11T308ER-ML TN6405 R0,8",20.83,55.0,1145.65,2020-04-01
136,3577937.0,"BDMT11T308ER-ML TN6430 R0,8",20.83,5.0,104.15,2020-04-01
137,3577934.0,"BDMT11T308ER-MS TN6425 R0,8",20.83,5.0,104.15,2020-04-01
138,3577940.0,"BDMT11T316ER-ML TN6405 R1,6",20.83,35.0,729.05,2020-04-01
139,3101 - 310100,"BROCA 1,00MM DIN 338N HSS",1.55,10.0,15.5,2020-04-01
140,3101 - 310120,"BROCA 1,20MM DIN 338N HSS",1.92,7.0,13.44,2020-04-01
141,3101 - 310150,"BROCA 1,50MM DIN 338N HSS",3.7,8.0,29.6,2020-04-01
142,3101 - 310160,"BROCA 1,60MM DIN 338N HSS",1.92,7.0,13.44,2020-04-01
143,3101 - 310170,"BROCA 1,70MM DIN 338N HSS",2.76,7.0,19.32,2020-04-01
144,3101 - 310180,"BROCA 1,80MM DIN 338N HSS",1.92,7.0,13.44,2020-04-01
145,3101 - 320620,BROCA 1/2MM DIN 338N HSS,24.13,4.0,96.52,2020-04-01
146,3101 - 320360,BROCA 1/4'' MM DIN 338N HSS,5.77,5.0,28.85,2020-04-01
147,3101 - 311000,"BROCA 10,00MM DIN 338N HSS",17.04,2.0,34.08,2020-04-01
148,3101 - 311020,"BROCA 10,20MM DIN 338N HSS",22.12,4.0,88.48,2020-04-01
149,3101 - 311040,"BROCA 10,40MM DIN 338N HSS",15.37,1.0,15.37,2020-04-01
150,3101 - 311100,"BROCA 11,00MM DIN 338N HSS",20.73,4.0,82.92,2020-04-01
151,3101 - 311150,"BROCA 11,50MM DIN 338N HSS",22.23,4.0,88.92,2020-04-01
152,3101 - 311180,"BROCA 11,80MM DIN 338N HSS",27.76,2.0,55.52,2020-04-01
153,3101 - 311200,"BROCA 12,00MM DIN 338N HSS",23.89,1.0,23.89,2020-04-01
154,3101 - 311250,"BROCA 12,50MM DIN 338N HSS",25.13,4.0,100.52,2020-04-01
155,3101 - 311450,"BROCA 14,50MM DIN 338N HSS",74.97,3.0,224.91,2020-04-01
156,3101 - 310200,"BROCA 2,00MM DIN 338N HSS",2.64,5.0,13.2,2020-04-01
157,3101 - 310220,"BROCA 2,20MM DIN 338N HSS",1.7,7.0,11.9,2020-04-01
158,3101 - 310240,"BROCA 2,40MM DIN 338N HSS",1.74,7.0,12.18,2020-04-01
159,3101 - 310250,"BROCA 2,50MM DIN 338N HSS",2.3,3.0,6.9,2020-04-01
160,3101 - 310280,"BROCA 2,80MM DIN 338N HSS",2.95,7.0,20.65,2020-04-01
161,3101 - 310290,"BROCA 2,90MM DIN 338N HSS",2.24,5.0,11.2,2020-04-01
162,3101 - 310300,"BROCA 3,00MM DIN 338N HSS",2.95,24.0,70.8,2020-04-01
163,3101 - 310310,"BROCA 3,10MM DIN 338N HSS",2.68,7.0,18.76,2020-04-01
164,3101 - 310330,"BROCA 3,30MM DIN 338N HSS",3.39,5.0,16.95,2020-04-01
165,3101 - 310350,"BROCA 3,50MM DIN 338N HSS",3.03,17.0,51.51,2020-04-01
166,3101 - 310380,"BROCA 3,80MM DIN 338N HSS",3.77,3.0,11.31,2020-04-01
167,3101 - 310390,"BROCA 3,90MM DIN 338N HSS",2.99,6.0,17.94,2020-04-01
168,3101 - 310400,"BROCA 4,00MM DIN 338N HSS",3.4,10.0,34.0,2020-04-01
169,3101 - 310420,"BROCA 4,20MM DIN 338N HSS",4.13,14.0,57.82,2020-04-01
170,3101 - 310450,"BROCA 4,50MM DIN 338N HSS",3.46,13.0,44.98,2020-04-01
171,3101 - 310480,"BROCA 4,80MM DIN 338N HSS",3.41,3.0,10.23,2020-04-01
172,3101 - 310500,"BROCA 5,00MM DIN 338N HSS",4.6,11.0,50.6,2020-04-01
173,TB41108,"BROCA 5,00MM DIN 340N TW204 (132X87)",35.38,1.0,35.38,2020-04-01
174,3101 - 310510,"BROCA 5,10MM DIN 338N HSS",4.32,2.0,8.64,2020-04-01
175,3101 - 310520,"BROCA 5,20MM DIN 338N HSS",5.2,1.0,5.2,2020-04-01
176,3101 - 310540,"BROCA 5,50MM DIN 338N HSS",4.72,3.0,14.16,2020-04-01
177,3101 - 310570,"BROCA 5,70MM DIN 338N HSS",4.38,7.0,30.66,2020-04-01
178,3101 - 310600,"BROCA 6,00MM DIN 338N HSS",5.1,8.0,40.8,2020-04-01
179,3101 - 310640,"BROCA 6,40MM DIN 338N HSS",5.64,6.0,33.84,2020-04-01
180,3101 - 310680,"BROCA 6,80MM DIN 338N HSS",7.83,1.0,7.83,2020-04-01
181,3101 - 310700,"BROCA 7,00MM DIN 338N HSS",6.67,5.0,33.35,2020-04-01
182,3101 - 310750,"BROCA 7,50MM DIN 338N HSS",7.73,1.0,7.73,2020-04-01
183,3101 - 310780,"BROCA 7,80MM DIN 338N HSS",7.9,1.0,7.9,2020-04-01
184,3101 - 310800,"BROCA 8,00MM DIN 338N HSS",8.85,2.0,17.7,2020-04-01
185,3101 - 310820,"BROCA 8,20MM DIM 338N HSS",11.07,4.0,44.28,2020-04-01
186,3101 - 310850,"BROCA 8,50MM DIN 338N HSS",10.57,3.0,31.71,2020-04-01
187,3101 - 310860,"BROCA 8,60MM DIN 338N HSS",11.86,2.0,23.72,2020-04-01
188,3101 - 310870,"BROCA 8,70MM DIN 338N HSS",13.18,4.0,52.72,2020-04-01
189,3101 - 310880,"BROCA 8,80MM DIN 338N HSS",13.18,4.0,52.72,2020-04-01
190,3101 - 310890,"BROCA 8,90MM DIN 338N HSS",11.0,3.0,33.0,2020-04-01
191,3101 - 310980,"BROCA 9,80MM DIN 338N HSS",18.31,2.0,36.62,2020-04-01
192,333125.0,"BROCA DE CENTRO - DIN 333A - 1,25X3,15MM",4.84,7.0,33.88,2020-04-01
193,333250.0,"BROCA DE CENTRO - DIN 333A - 2,50X6,30MM",7.26,2.0,14.52,2020-04-01
194,333315.0,"BROCA DE CENTRO - DIN 333A - 3,15X8,00MM",8.47,1.0,8.47,2020-04-01
195,333400.0,"BROCA DE CENTRO - DIN 333A - 4,00X10,0MM",11.5,1.0,11.5,2020-04-01
196,333500.0,"BROCA DE CENTRO - DIN 333A - 5,00X12,5MM",21.78,2.0,43.56,2020-04-01
197,338065.0,BROCA MD D=6.5X63X101 H6.5 DIN 338,80.0,1.0,80.0,2020-04-01
198,1315342.0,BT40BHC08080M,1162.8,1.0,1162.8,2020-04-01
199,2022855.0,CCGT09T304AL2 HWK15,16.7,10.0,167.0,2020-04-01
200,2564426.0,CCMT060208-R PA120,7.42,90.0,667.8,2020-04-01
201,2562365.0,CCMT09T304 PA120,7.42,28.0,207.76,2020-04-01
202,2563995.0,CCMT09T308 PA120,7.42,38.0,281.96,2020-04-01
203,5608.0,CHAVE C-20 - PARA PORCA CONE AUTO TORQUE,35.2,1.0,35.2,2020-04-01
204,1146.0,CHAVE ER-11 - PARA PORCA TIPO M CASTELO,21.75,1.0,21.75,2020-04-01
205,1148.0,CHAVE ER-32 - PARA PORCA TIPO T2 (4 PONTAS),34.15,1.0,34.15,2020-04-01
206,1149.0,CHAVE ER-40 - PARA PORCA TIPO T2 (4 PONTAS),36.3,1.0,36.3,2020-04-01
207,689.0,CHAVE PARA MANDRIL CAPAC. ATÉ 20MM,5.7,2.0,11.4,2020-04-01
208,T10000,CHAVE TORX 10,3.8,2.0,7.6,2020-04-01
209,T15000,CHAVE TORX 15,3.8,9.0,34.2,2020-04-01
210,T20000,CHAVE TORX 20,3.0,9.0,27.0,2020-04-01
211,T60000,CHAVE TORX 6,3.0,10.0,30.0,2020-04-01
212,T70000,CHAVE TORX 7,3.8,10.0,38.0,2020-04-01
213,T80000,CHAVE TORX 8,3.0,19.0,57.0,2020-04-01
214,T90000,CHAVE TORX 9,3.15,10.0,31.5,2020-04-01
215,1021589.0,CHAVE TORX FT-5,10.96,2.0,21.92,2020-04-01
216,2952526.0,CNGA120404T02020 CW2015,20.39,1.0,20.39,2020-04-01
217,2952527.0,CNGA120408T02020 CW2015,20.39,2.0,40.78,2020-04-01
218,3869580.0,CNGN120416T01020 CW3020,30.41,8.0,243.28,2020-04-01
219,2559805.0,CNMA120412 HK1500,13.44,9.0,120.96,2020-04-01
220,CNMG120404-BF,CNMG120404-BF WS7225,14.0,5.0,70.0,2020-04-01
221,4166390.0,CNMG1204087N TN20P,15.71,10.0,157.1,2020-04-01
222,CNMG120408-BM,CNMG120408-BM WS7225,14.0,2.0,28.0,2020-04-01
223,CNMG120408-GT,CNMG120408-GT WS8125,14.0,10.0,140.0,2020-04-01
224,4166436.0,CNMG1204127N TN20K,15.71,4.0,62.84,2020-04-01
225,4166434.0,CNMG120412-7N TN20P,15.71,10.0,157.1,2020-04-01
226,4166454.0,CNMG190616-7N TN20P,35.33,5.0,176.65,2020-04-01
227,18146.0,CONJUNTO GRAMPO PARAFUSO MTJ16,10.0,13.0,130.0,2020-04-01
228,CJTOMW0603,CONJUNTO GRAMPO PARAFUSO MW0603,15.0,1.0,15.0,2020-04-01
229,5656.0,"CONJUNTO MANDRILHAR BT 40 -  8 - 280 (0,01MM) -BT40-NBH2084  8-280",3149.0,1.0,3149.0,2020-04-01
230,3781765.0,CPGT04T1043 TN7135,20.41,10.0,204.1,2020-04-01
231,5559120.0,D51808003W RETA 6C 30° D=8X8X19X63,88.19,3.0,264.57,2020-04-01
232,2256341.0,D61806002RJ RETA 6C 50° D=6X6X60X15,96.99,3.0,290.97,2020-04-01
233,2022330.0,DCGT070204AL3 HWK15,20.79,9.0,187.11,2020-04-01
234,DCGT11AK,DCGT110304-AK WSK10,14.0,10.0,140.0,2020-04-01
235,2002469.0,DCGT11T304AL1 HCK10,24.85,20.0,497.0,2020-04-01
236,4166643.0,DCMT11T308-1P TN10P,14.55,5.0,72.75,2020-04-01
237,4166644.0,DCMT11T308-1P TN20P,14.55,2.0,29.1,2020-04-01
238,31137.0,DGTL 20B 2D35,100.0,2.0,200.0,2020-04-01
239,120543.0,DGTR 10B 2D30,100.0,4.0,400.0,2020-04-01
240,28472.0,DGTR 20B 2D35,100.0,1.0,100.0,2020-04-01
241,28477.0,DGTR 20B 3D40,100.0,1.0,100.0,2020-04-01
242,28484.0,DGTR 25B 2D35,100.0,1.0,100.0,2020-04-01
243,28487.0,DGTR 25B 3D40,100.0,2.0,200.0,2020-04-01
244,4165986.0,DNMG110408-6P TN30M,14.23,1.0,14.23,2020-04-01
245,2992805.0,DNMG110408-FM TN2000,17.42,2.0,34.84,2020-04-01
246,4170509.0,DNMG110408UR WP25CT,21.41,1.0,21.41,2020-04-01
247,DNMG150612-P,DNMG150612-GR WS8125,25.0,10.0,250.0,2020-04-01
248,4170570.0,DNMG150612MR WP25CT,34.06,19.0,647.14,2020-04-01
249,TM-2B-R5,ESFERICA 58HRC 2C D=10X10X75X20,112.2,2.0,224.4,2020-04-01
250,TM-2B-R6,ESFERICA 58HRC 2C D=12X12X75X24,148.5,2.0,297.0,2020-04-01
251,TM-2B-R0.5S,ESFERICA 58HRC 2C D=1X4X50X2,23.65,5.0,118.25,2020-04-01
252,TM-2B-R1S,ESFERICA 58HRC 2C D=2X4X50X4,23.65,4.0,94.6,2020-04-01
253,TM-2B-R1.5S,ESFERICA 58HRC 2C D=3X4X50X6,23.65,2.0,47.3,2020-04-01
254,TM-2B-R2S,ESFERICA 58HRC 2C D=4X4X50X11,23.65,9.0,212.85,2020-04-01
255,TM-2B-R3,ESFERICA 58HRC 2C D=6X6X60X12,38.5,4.0,154.0,2020-04-01
256,TM-2B-R4,ESFERICA 58HRC 2C D=8X8X60X16,71.5,5.0,357.5,2020-04-01
257,1501 - 110110,"FRESA 20,00 MM 4C HSS",83.75,1.0,83.75,2020-04-01
258,4675L,FRESA ESFERICA 45HRC 2C D=4X6X75X11 LONGA,35.0,1.0,35.0,2020-04-01
259,4676L,FRESA ESFERICA 45HRC 2C D=4X6X76X12 LONGA S/ COB,35.0,10.0,350.0,2020-04-01
260,5675L,FRESA ESFERICA 45HRC 2C D=5X6X76X14 LONGA,35.0,10.0,350.0,2020-04-01
261,5676L,FRESA ESFERICA 45HRC 2C D=5X6X76X14 LONGA S/ COB,35.0,3.0,105.0,2020-04-01
262,149.0,FRESA ESFERICA 55HRC 2C D=10X10X100X20,151.25,1.0,151.25,2020-04-01
263,843.0,FRESA ESFERICA 55HRC 2C D=12X24X150X12,321.86,2.0,643.72,2020-04-01
264,152.0,FRESA ESFERICA 55HRC 2C D=1X4X50X2,23.65,5.0,118.25,2020-04-01
265,162.0,FRESA ESFERICA 55HRC 2C D=3X6X75X8,60.5,3.0,181.5,2020-04-01
266,171.0,FRESA ESFERICA 55HRC 2C D=8X8X60X16,78.65,1.0,78.65,2020-04-01
267,142.0,FRESA ESFERICA 55HRC 4C D=4X11X50 H4,36.3,2.0,72.6,2020-04-01
268,301.0,FRESA ESFERICA MICRO 2C D=0.6X1XX50X4,35.64,2.0,71.28,2020-04-01
269,230.0,FRESA RETA 45HRC 2C D=3X3X50X8,15.95,1.0,15.95,2020-04-01
270,667.0,FRESA RETA 55HRC 2C D=2X4X50X6,23.65,2.0,47.3,2020-04-01
271,640.0,FRESA RETA 55HRC 2C D=4X4X50X11,21.5,2.0,43.0,2020-04-01
272,641.0,FRESA RETA 55HRC 2C D=6X15X75X6,46.0,5.0,230.0,2020-04-01
273,751.0,FRESA RETA 55HRC 4C D=1.5X3X5X4,23.65,2.0,47.3,2020-04-01
274,744.0,FRESA RETA 55HRC 4C D=1X3X50X3,26.02,2.0,52.04,2020-04-01
275,422.0,FRESA RETA 55HRC 4C D=1X4X50X3,23.65,4.0,94.6,2020-04-01
